ID	Name	Desc	Price	Type	Col1	Col2	Col3
194	1/2 sheet fererro rocher chocolate cake	chocolate base with crushed hazelnut chocolate 	100	4	1	100	0
195	1/2 sheet Chocolate delight cake	chocolate base with fresh chocolate cream and chocolate ganache	100	4	1	100	0
196	1/2 sheet Raspberry cake	vanilla base with raspberries flavor	100	4	1	100	0
197	1/2 sheet de leche cake	vanilla base caramel flavor	85	4	1	100	0
198	1/2 sheet Gulab jamun cake	vanilla base with pieces of gulabjamun	100	4	1	100	0
199	1/2 sheet eggless blackforest cake	chocolate base with vanilla cream and crushed cherries	85	4	1	100	0
200	1/2 sheet eggless pineapple cake	vanilla base with vanilla cream and crushed pineapple	85	4	1	100	0
201	1/2 sheet eggless mix fruit cake	vanilla base with fresh fruits 	85	4	1	100	0
202	1/2 sheet eggless fresh strawberry cake	vanilla base with fresh strawberries	100	4	1	100	0
203	1/2 sheeteggless mango cake	vanilla base with mango puree	100	4	1	100	0
204	1/2 sheet eggless pistachio cake	vanilla base with pistachio essence and pistachio nuts	115	4	1	100	0
205	1/2 sheet eggless nougat cake	vanilla base with caramalized sugar with cashew	100	4	1	100	0
206	1/2 sheet eggless mocha cake	chocolate with chocolate and coffee mix cream	100	4	1	100	0
207	1/2 sheet eggless coffee cake	vanilla base with coffee flavor	100	4	1	100	0
208	1/2 sheet eggless chocolate flakes cake	chocolate base with fresh chocolate cream	100	4	1	100	0
209	1/2 sheet eggless rasamalai cake	vanilla base with pieces of rasamalai 	115	4	1	100	0
210	1/2 sheet eggless fererro rocher chocolate cake	chocolate base with crushed hazelnut chocolate 	115	4	1	100	0
211	1/2 sheet eggless Chocolate delight cake	chocolate base with fresh chocolate cream and chocolate ganache	115	4	1	100	0
212	1/2 sheet eggless Raspberry cake	vanilla base with raspberries flavor	115	4	1	100	0
213	1/2 sheet eggless Dulce de leche cake	vanilla base caramel flavor	100	4	1	100	0
214	1/2 sheet eggless Gulab jamun cake	vanilla base with pieces of gulabjamun	115	4	1	100	0
215	full sheet blackforest cake	chocolate base with vanilla cream and crushed cherries	130	4	1	100	0
216	full sheet pineapple cake	vanilla base with vanilla cream and crushed pineapple	130	4	1	100	0
217	full sheet mix fruit cake	vanilla base with fresh fruits 	130	4	1	100	0
218	full sheet fresh strawberry cake	vanilla base with fresh strawberries	160	4	1	100	0
219	full sheet mango cake	vanilla base with mango puree	160	4	1	100	0
220	full sheet pistachio cake	vanilla base with pistachio essence and pistachio nuts	190	4	1	100	0
221	full sheet nougat cake	vanilla base with caramalized sugar with cashew	160	4	1	100	0
222	full sheet mocha cake	chocolate with chocolate and coffee mix cream	160	4	1	100	0
223	full sheet coffee cake	vanilla base with coffee flavor	160	4	1	100	0
224	full sheet chocolate flakes cake	chocolate base with fresh chocolate cream	160	4	1	100	0
225	full sheet rasamalai cake	vanilla base with pieces of rasamalai 	190	4	1	100	0
226	full sheet fererro rocher chocolate cake	chocolate base with crushed hazelnut chocolate 	190	4	1	100	0
227	full sheet Chocolate delight cake	chocolate base with fresh chocolate cream and chocolate ganache	190	4	1	100	0
228	full sheet Raspberry cake	vanilla base with raspberries flavor	190	4	1	100	0
229	full sheet de leche cake	vanilla base caramel flavor	160	4	1	100	0
230	full sheet Gulab jamun cake	vanilla base with pieces of gulabjamun	190	4	1	100	0
231	full sheet eggless blackforest cake	chocolate base with vanilla cream and crushed cherries	160	4	1	100	0
232	full sheet eggless pineapple cake	vanilla base with vanilla cream and crushed pineapple	160	4	1	100	0
233	full sheet eggless mix fruit cake	vanilla base with fresh fruits 	160	4	1	100	0
234	full sheet eggless fresh strawberry cake	vanilla base with fresh strawberries	190	4	1	100	0
235	full sheeteggless mango cake	vanilla base with mango puree	190	4	1	100	0
236	full sheet eggless pistachio cake	vanilla base with pistachio essence and pistachio nuts	220	4	1	100	0
237	full sheet eggless nougat cake	vanilla base with caramalized sugar with cashew	190	4	1	100	0
238	full sheet eggless mocha cake	chocolate with chocolate and coffee mix cream	190	4	1	100	0
239	full sheet eggless coffee cake	vanilla base with coffee flavor	190	4	1	100	0
240	full sheet eggless chocolate flakes cake	chocolate base with fresh chocolate cream	190	4	1	100	0
241	full sheet eggless rasamalai cake	vanilla base with pieces of rasamalai 	190	4	1	100	0
242	full sheet eggless fererro rocher chocolate cake	chocolate base with crushed hazelnut chocolate 	220	4	1	100	0
243	full sheet eggless Chocolate delight cake	chocolate base with fresh chocolate cream and chocolate ganache	220	4	1	100	0
244	full sheet eggless Raspberry cake	vanilla base with raspberries flavor	220	4	1	100	0
245	full sheet eggless Dulce de leche cake	vanilla base caramel flavor	190	4	1	100	0
246	full sheet eggless Gulab jamun cake	vanilla base with pieces of gulabjamun	220	4	1	100	0
247	Butter Chicken Sandwich	butter chicken flavor chicken sandwiches	4.49	6	1	102	0
248	Chicken Salad Sandwich	non spicy chicken chicken sandwiches	4.29	6	1	100	0
249	Chicken Tikka Sandwich	chicken tikka flavor spicy sandwiches 	4.29	6	1	100	0
250	Vegetable Sandwich	mixed vegetable sandwiches	3.99	6	1	100	0
251	Egg Sandwich	boiled egg sandwich	3.99	6	1	100	0
252	Large egglesss jeera cookie box	eggless cumin flavor cookies	10.99	7	1	100	0
253	Large egglesss Salt cookie box	eggless plaint sweet and salt flavor cookies	10.99	7	1	100	0
254	Large eggless pistachio cookie box	eggless pistachio butter cookies	10.99	7	1	100	0
255	Large eggless crushed almond cookie box	eggless crushed almond butter cookies	10.99	7	1	100	0
